ind	dD	dP	dM	t	sexo	edad	NDependents
203	1	0	0	18	1	49	1
204	0	0	0	24	1	30	1
205	0	0	0	21	1	24	1
206	0	0	0	18	1	33	1
207	0	0	0	12	1	20	2
208	0	0	0	15	1	23	1
210	0	0	0	9	1	35	1
211	0	0	0	3	1	29	2
212	0	0	0	24	1	22	1
213	1	0	0	21	1	22	1
214	0	0	0	6	1	74	2
215	0	0	0	9	1	35	1
216	0	0	0	10	1	37	2
217	0	0	0	10	1	31	1
218	0	0	0	6	0	27	1
220	0	0	0	10	1	45	1
221	1	0	0	18	1	36	1
222	0	0	0	30	1	49	1
223	0	1	0	24	1	35	1
224	0	1	0	27	1	27	1
225	0	0	0	18	1	28	1
226	0	0	0	24	1	43	1
227	0	0	0	18	1	35	2
228	0	1	0	14	1	27	1
229	0	0	0	21	1	36	1
231	0	0	0	24	1	36	1
232	1	0	0	6	0	39	1
234	0	0	0	30	1	40	1
235	0	0	0	12	0	25	1
236	0	0	0	24	1	55	1
237	0	0	0	21	1	50	1
238	0	0	0	24	1	64	1
239	0	0	0	4	1	23	2
241	0	0	0	15	0	47	1
243	0	0	0	18	1	24	1
244	0	0	0	18	1	32	1
245	1	0	0	6	1	45	2
246	0	0	0	24	1	23	1
247	0	0	0	18	1	24	1
248	0	1	0	24	1	35	1
249	0	0	0	15	1	25	1
250	0	0	0	21	1	26	1
251	0	1	0	18	1	43	2
252	0	1	0	18	1	44	2
253	0	0	0	12	1	38	1
254	0	0	1	36	1	28	1
255	0	0	1	36	1	38	1
256	0	0	0	15	1	26	1
257	0	0	0	15	1	27	1
258	0	0	0	10	1	23	1
259	0	0	0	10	1	52	1
260	0	0	0	5	1	74	1
261	0	0	0	15	1	27	1
262	0	0	0	11	1	35	1
263	0	0	0	10	1	23	1
264	0	0	0	9	1	20	1
265	0	0	0	12	1	34	2
266	0	0	0	22	1	40	1
267	0	0	0	9	1	37	2
268	0	0	1	36	1	36	1
269	0	0	0	12	1	22	1
270	1	0	0	15	1	34	2
271	0	0	0	6	1	50	1
272	0	0	1	36	1	40	1
273	1	0	0	6	0	23	1
274	0	0	0	24	1	53	1
275	0	0	0	24	1	35	1
276	1	0	0	12	1	35	2
277	0	0	0	15	1	54	1
278	0	0	0	21	1	27	1
279	0	0	0	24	1	28	1
280	0	0	0	9	1	49	1
281	0	1	0	6	1	29	1
282	0	0	0	12	1	46	1
283	0	0	0	12	1	20	1
284	0	1	0	21	1	47	1
285	0	0	0	21	1	29	1
286	0	0	0	6	1	54	1
287	0	0	0	6	1	52	1
288	0	0	0	9	1	32	2
289	0	0	0	9	1	51	1
290	0	1	0	15	0	33	1
291	0	0	0	12	1	37	2
292	0	0	0	15	1	20	1
293	0	0	0	6	1	34	2
294	1	0	0	6	1	31	2
295	0	0	0	15	1	30	1
296	0	0	1	36	1	30	1
297	0	0	0	9	1	22	1
298	1	0	0	6	1	34	1
299	0	0	0	12	1	19	1
300	0	1	0	18	0	34	1
301	1	0	0	12	0	35	1
302	0	0	0	24	1	25	1
303	0	0	0	24	1	26	1
304	0	0	0	9	1	33	2
305	0	0	0	9	1	28	1
306	0	0	0	24	0	41	1
307	0	0	0	6	1	36	1
308	1	0	0	6	1	26	2
309	0	0	0	21	1	28	1
311	0	0	0	12	1	65	1
313	0	0	0	6	1	41	1
314	0	0	0	24	1	26	1
315	0	0	0	6	1	41	2
316	0	0	0	15	1	45	2
317	1	0	0	23	1	40	1
318	0	0	0	12	0	24	1
319	0	0	0	15	1	31	1
320	1	0	0	6	1	35	1
321	0	0	0	10	1	40	2
322	0	0	0	12	1	28	1
323	0	0	0	11	1	28	1
324	0	0	0	10	1	27	1
325	0	0	0	10	1	31	2
326	0	0	0	24	1	37	1
327	0	0	0	10	1	35	1
328	0	0	0	6	1	46	2
329	0	0	0	18	1	32	1
330	0	0	0	18	1	33	1
331	0	0	0	24	1	33	1
332	0	0	0	18	1	26	1
333	1	0	0	6	1	24	1
334	0	0	0	22	1	25	1
335	0	1	0	24	0	54	1
336	0	0	0	24	1	24	1
337	0	0	0	9	1	48	2
338	0	0	0	10	1	49	1
339	0	0	0	10	1	32	2
340	0	0	0	12	1	55	1
341	0	0	0	30	1	40	2
342	0	0	0	24	1	22	1
343	0	0	0	18	1	38	1
344	0	0	0	9	1	26	2
345	0	0	0	12	1	51	1
346	0	0	0	10	1	38	1
347	0	0	0	10	1	46	1
348	0	0	0	10	1	63	1
349	0	0	0	12	1	30	1
350	0	0	0	12	1	32	1
351	0	0	0	10	0	26	1
352	0	0	0	24	1	34	2
354	0	0	0	12	1	29	1
355	0	0	0	6	1	42	2
356	0	0	1	36	1	42	1
357	0	0	0	24	1	63	2
358	0	0	0	10	1	32	2
359	0	0	0	18	1	23	1
360	0	0	0	15	1	59	1
361	0	0	0	12	1	61	1
362	0	0	0	12	1	22	1
363	1	0	0	6	0	27	1
364	0	0	0	9	1	26	1
365	0	0	0	12	1	37	1
366	1	0	0	12	1	34	1
367	0	0	0	24	1	57	1
368	1	0	0	12	1	31	1
369	0	0	0	15	1	28	1
370	0	0	0	24	1	24	1
371	0	0	0	24	0	21	1
372	0	0	0	24	1	34	1
373	0	0	0	24	1	29	1
374	1	0	0	6	1	27	1
375	0	1	0	21	1	34	1
376	0	0	0	27	1	27	1
377	1	0	0	12	1	28	1
378	0	1	0	27	1	30	1
379	0	0	0	15	1	22	1
380	0	0	0	30	1	36	1
381	0	0	0	18	1	22	1
382	0	0	0	21	1	26	1
384	0	0	0	9	0	22	1
386	0	0	0	9	1	24	1
387	0	0	0	9	1	30	1
388	0	0	0	24	1	43	2
389	0	0	0	10	1	37	1
390	0	0	0	24	1	26	1
391	0	0	0	15	1	33	1
392	0	0	0	12	1	66	1
393	0	0	0	6	1	50	1
394	0	0	0	15	1	35	1
395	0	0	0	24	1	25	1
396	0	0	0	9	1	25	1
397	0	1	0	24	1	33	1
398	0	0	0	12	1	30	1
399	0	1	0	12	0	41	1
400	0	0	0	12	1	32	1
401	0	0	0	27	1	32	2
402	0	0	0	12	1	39	1
403	0	0	0	6	1	23	1
404	0	0	0	24	1	26	1
405	0	0	0	18	1	32	1
407	0	0	0	15	1	30	1
408	0	0	0	9	0	27	1
409	0	0	0	18	0	36	1
411	0	0	0	13	1	64	1
412	0	1	0	24	1	32	2
413	0	0	0	12	1	35	1
414	0	1	0	24	1	44	2
415	0	0	0	12	1	42	2
416	0	0	0	28	1	29	1
417	0	0	0	11	1	57	1
418	0	0	0	24	1	27	1
419	0	0	0	18	1	29	1
420	0	0	0	15	1	44	2
421	0	0	0	12	0	28	1
422	0	0	0	11	1	40	1
423	0	0	0	16	1	68	1
424	0	0	0	12	1	52	1
425	0	0	0	15	1	46	1
426	0	0	0	12	1	52	1
428	0	0	0	9	1	34	1
429	0	0	0	12	1	23	1
430	0	0	0	9	1	33	1
431	0	0	0	30	1	26	1
432	0	1	0	12	1	55	2
433	0	0	0	15	1	27	1
434	0	0	0	18	0	28	1
435	0	0	0	12	1	57	1
436	0	1	0	7	1	36	1
437	0	0	0	15	1	31	1
438	1	0	0	6	1	24	1
439	0	0	0	27	1	43	2
440	0	0	0	18	0	40	2
441	0	0	0	21	1	23	1
442	0	1	0	27	1	26	1
444	0	0	0	15	0	40	1
445	0	0	0	12	1	56	1
446	0	0	0	12	1	50	1
447	0	0	0	6	1	36	1
448	0	0	0	12	1	21	1
449	0	0	1	36	1	32	1
450	0	0	0	9	1	66	1
451	0	0	0	12	1	66	1
452	0	0	0	20	1	39	1
453	0	0	0	10	1	70	1
454	0	0	0	24	1	24	1
455	0	0	0	14	1	22	1
457	0	1	0	20	1	29	1
458	0	0	0	18	1	35	1
459	0	0	0	24	1	29	1
460	0	0	0	12	0	26	1
461	0	0	0	20	1	60	1
462	0	0	0	18	1	40	1
463	0	0	0	15	1	23	1
464	0	0	0	28	1	45	1
465	0	0	0	12	1	24	1
466	0	0	0	12	1	55	1
467	0	0	0	12	1	30	1
468	0	0	0	15	1	35	1
469	0	0	1	36	1	24	1
470	0	0	0	12	1	47	2
471	0	0	0	18	1	47	1
472	0	0	0	24	1	25	1
473	0	0	1	36	1	37	1
474	0	0	0	15	1	33	1
475	0	0	1	36	1	31	1
476	0	0	0	24	0	27	1
477	0	0	0	18	1	47	2
478	0	0	0	24	1	25	1
479	0	0	0	12	1	57	1
480	0	0	0	18	1	67	1
481	0	0	0	27	1	48	2
482	0	0	0	18	1	40	1
483	0	1	0	24	1	32	1
484	0	0	0	12	1	49	1
485	0	0	0	12	1	35	1
486	0	0	0	12	1	27	1
487	0	0	0	18	1	35	1
488	0	0	0	18	1	37	1
489	0	0	0	12	0	26	1
490	0	0	0	12	1	45	2
491	0	0	0	18	1	33	1
492	0	0	0	12	1	42	1
493	1	0	0	15	1	31	1
494	0	0	0	24	0	46	1
495	0	0	0	12	1	54	1
496	0	0	0	24	0	26	1
497	0	0	0	6	0	29	1
498	0	0	0	24	1	43	1
499	0	0	0	12	1	38	1
500	0	0	0	12	0	35	1
501	0	0	0	24	0	28	1
502	0	0	0	24	0	27	1
503	0	0	0	6	1	51	2
504	0	0	0	24	1	33	1
505	0	0	0	24	1	38	1
506	0	0	0	6	0	30	1
507	0	0	0	12	1	38	1
508	0	0	0	24	1	46	2
509	0	0	0	24	1	33	1
510	0	0	0	6	1	43	1
511	0	0	0	6	0	24	1
512	0	0	0	6	1	56	1
513	0	0	0	24	1	37	1
514	0	0	0	30	0	22	1
515	0	0	0	15	1	20	1
516	0	0	0	24	1	29	1
517	0	1	0	24	1	36	1
518	0	0	1	36	1	37	1
519	0	0	0	24	1	44	1
520	0	0	1	36	1	23	1
521	0	0	1	36	1	28	1
522	0	0	1	36	1	26	1
523	0	0	0	6	1	29	1
524	0	0	0	18	1	21	1
525	0	0	0	12	1	34	1
526	0	0	1	36	1	31	1
527	0	0	0	12	0	40	1
528	0	0	0	12	1	27	1
529	0	0	0	18	1	32	1
530	0	0	0	18	1	25	1
531	0	0	0	4	1	42	2
532	0	0	0	24	1	43	2
533	0	0	0	12	1	44	1
534	0	0	0	18	0	32	1
535	0	0	0	18	1	27	1
536	0	0	0	24	1	20	1
537	0	0	0	4	1	37	2
538	0	0	0	4	1	42	2
539	0	0	0	7	1	46	1
540	1	0	0	18	1	33	1
541	0	0	0	9	1	22	1
543	0	0	0	12	1	37	1
544	0	0	0	18	1	27	1
545	0	0	0	4	1	42	2
546	0	0	0	8	0	26	1
547	0	0	0	30	1	26	1
548	0	0	0	10	1	27	1
549	0	0	0	12	0	22	1
550	0	0	0	12	1	37	1
551	0	0	0	12	1	30	2
552	0	0	0	12	1	49	2
553	0	0	0	12	0	27	1
554	0	0	0	10	1	40	1
555	0	0	0	11	1	20	1
556	0	1	0	33	1	26	1
558	0	0	0	12	1	33	1
559	0	0	0	24	1	26	1
560	0	0	0	14	0	35	1
561	0	0	0	20	1	44	1
562	0	0	0	18	1	27	1
564	0	0	0	24	1	47	1
565	0	0	0	30	1	26	1
566	0	0	0	24	1	23	1
567	0	0	1	36	1	31	2
568	0	0	0	6	1	52	1
569	0	0	0	12	1	43	1
571	0	0	0	12	1	26	1
572	0	0	1	36	1	35	2
573	0	0	0	26	1	30	1
574	0	1	0	30	1	34	2
575	0	0	1	36	1	35	1
577	0	0	1	36	1	42	2
578	0	0	0	12	1	40	2
579	0	0	1	33	1	23	1
581	1	0	0	7	1	24	1
582	0	0	0	24	1	33	1
583	0	0	0	24	1	31	1
584	0	0	0	12	1	22	1
585	0	0	0	12	1	53	1
586	0	0	0	24	1	34	1
587	0	0	0	18	1	36	1
588	0	0	1	36	1	37	2
589	0	0	0	18	1	25	1
590	0	0	0	12	1	34	1
591	0	0	0	12	1	27	1
592	0	0	0	8	1	51	2
593	0	0	1	36	1	23	1
594	0	1	0	24	1	29	1
595	1	0	0	15	1	32	1
596	0	0	1	36	1	28	1
597	0	0	0	12	1	38	2
598	0	0	0	21	1	65	1
599	0	0	0	30	1	39	2
600	0	0	1	36	1	29	1
601	0	0	1	36	1	26	2
602	0	0	0	24	1	30	1
603	0	0	0	6	1	75	1
604	0	0	0	12	1	21	1
605	0	0	1	36	1	41	2
606	0	0	0	15	1	25	1
607	1	0	0	6	1	35	1
608	0	0	0	6	1	37	1
610	0	0	0	24	1	30	1
611	0	0	0	12	1	23	1
612	0	0	0	12	1	42	1
613	0	0	0	12	1	30	1
614	0	0	0	15	1	46	1
615	0	0	0	24	1	29	1
616	0	0	0	12	1	29	1
617	0	0	0	30	1	38	2
618	0	0	0	18	1	30	2
619	0	0	0	30	1	31	1
620	0	0	0	12	1	47	2
621	0	0	0	24	1	48	1
622	0	0	0	24	1	27	1
623	0	0	0	12	1	66	1
624	0	0	0	12	1	29	2
625	0	0	0	24	1	75	1
626	0	0	0	6	1	36	1
627	0	0	0	12	1	38	1
628	0	0	0	18	1	46	1
629	0	0	0	6	1	36	2
630	0	0	0	12	1	55	1
631	0	0	0	15	1	25	1
633	0	0	0	24	1	28	1
634	0	0	1	36	1	30	1
635	0	0	1	36	1	39	2
636	0	0	0	24	1	22	1
637	0	0	0	12	1	60	1
638	0	0	0	13	1	28	1
639	0	0	0	20	1	24	1
640	0	0	0	24	1	63	1
641	0	0	1	36	0	46	1
643	0	0	0	24	1	44	2
645	0	0	0	24	1	54	2
646	0	0	1	36	1	43	1
647	0	0	0	24	1	52	1
649	0	1	0	30	1	41	1
650	0	0	0	18	1	34	1
651	0	0	0	24	1	48	1
652	0	0	0	6	1	38	1
653	0	0	0	12	1	38	1
654	0	0	0	24	1	53	1
656	0	1	0	18	1	42	1
657	0	0	0	24	1	38	2
658	0	0	0	6	1	64	1
659	0	0	0	7	1	35	1
660	0	0	0	6	0	26	1
661	0	0	0	8	1	33	1
662	0	0	0	12	1	29	1
663	0	0	0	12	0	20	1
664	0	0	0	6	1	28	2
665	0	0	0	8	1	47	1
666	0	0	0	12	1	49	1
667	1	0	0	7	1	45	1
668	0	0	0	13	1	23	1
669	0	0	0	18	0	25	1
670	1	0	0	7	1	34	1
671	0	0	0	13	1	23	1
672	0	0	0	18	0	32	1
673	0	0	0	18	1	26	2
674	0	0	0	8	1	44	1
675	0	0	0	12	0	26	1
676	0	0	0	6	1	28	2
677	0	0	0	9	1	25	1
678	0	0	0	18	1	48	1
679	0	0	0	15	1	35	1
680	0	0	0	6	0	28	1
681	1	0	0	10	1	23	1
682	0	0	0	12	0	40	1
683	0	1	0	20	1	36	2
684	0	0	0	15	1	50	1
685	0	0	0	12	1	24	1
686	0	0	0	24	1	40	1
687	0	0	0	10	1	31	1
688	0	0	1	36	1	29	1
689	0	0	0	18	1	45	1
690	0	0	0	24	1	32	1
692	0	0	0	12	0	27	1
693	0	0	0	6	0	22	1
694	0	1	0	15	1	46	1
695	0	0	0	12	1	24	1
697	0	1	0	12	1	36	1
698	0	0	0	24	0	28	1
700	0	0	0	24	1	57	1
701	0	0	1	36	1	47	1
702	0	0	1	36	1	34	1
703	0	0	0	18	1	23	1
704	0	0	0	30	1	57	1
705	0	0	0	6	1	67	1
706	0	0	0	15	1	36	1
707	0	0	0	24	1	20	1
708	0	0	0	30	1	36	1
711	0	0	0	24	1	62	1
713	0	0	1	36	1	36	1
714	0	0	0	9	1	41	1
715	0	0	0	6	1	26	1
716	0	0	1	36	1	27	1
718	0	0	0	24	1	54	1
719	0	0	0	18	1	27	1
722	0	0	0	15	1	40	1
723	0	0	0	21	1	28	1
724	0	0	1	36	1	31	2
725	0	0	0	24	1	27	1
726	0	0	0	18	0	21	1
727	0	0	0	21	1	31	1
728	0	0	0	12	1	39	1
729	0	0	1	36	1	30	1
733	1	0	0	15	1	23	1
734	1	0	0	15	1	23	1
735	0	0	1	36	1	42	2
736	0	0	0	6	1	62	1
737	0	0	0	9	1	37	1
738	0	0	0	18	1	46	1
739	1	0	0	15	1	38	1
740	1	0	0	20	0	31	1
741	0	0	0	12	1	31	1
742	0	0	0	12	1	61	1
743	0	0	0	24	0	20	1
745	0	0	0	30	1	24	1
746	0	0	0	6	0	21	1
747	0	0	0	24	1	36	1
748	0	0	0	24	1	44	1
749	0	0	0	9	1	67	1
750	0	0	0	24	1	51	1
751	0	0	1	36	1	30	1
752	0	0	0	9	1	28	1
753	0	0	0	9	1	32	2
754	0	0	0	24	1	28	1
755	0	0	0	6	1	23	1
756	1	0	0	15	1	33	2
757	0	0	0	24	1	60	1
758	1	0	0	12	1	48	1
759	0	0	0	30	1	24	1
760	0	0	1	36	1	27	1
762	0	0	0	18	1	65	1
763	1	0	0	21	1	29	1
765	0	1	0	24	1	47	2
766	0	0	0	9	1	22	1
768	0	0	0	18	1	32	1
769	1	0	0	9	1	29	1
770	1	0	0	15	1	24	1
771	0	0	0	24	1	30	2
772	0	0	0	9	1	27	1
773	0	0	0	18	0	47	1
774	0	0	1	36	1	24	1
775	0	0	1	36	1	24	1
776	0	0	1	36	1	34	1
777	0	1	0	18	1	40	1
778	0	0	0	6	1	44	1
779	0	0	0	18	0	33	1
780	1	0	0	15	1	40	1
781	0	0	0	30	1	49	1
782	0	1	0	24	0	48	1
783	0	0	1	36	1	57	1
784	1	0	0	6	1	24	2
785	1	0	0	12	1	29	1
786	0	0	0	24	1	35	1
787	1	0	0	6	1	32	1
788	0	1	0	15	0	61	1
789	1	0	0	20	1	36	1
790	0	0	0	24	1	25	1
791	1	0	0	15	1	26	1
792	1	0	0	15	1	25	1
793	0	1	0	24	1	55	1
794	0	0	0	12	1	53	1
795	0	1	0	30	1	66	1
796	0	0	1	36	1	61	1
797	0	0	0	18	1	34	2
798	0	0	0	21	1	33	1
799	0	0	0	24	1	29	1
800	0	0	0	24	1	38	2
801	0	0	0	24	1	35	1
802	0	0	0	24	1	32	1
803	0	0	0	24	1	25	1
804	0	0	0	18	1	33	1
805	0	0	0	12	0	23	1
806	0	0	0	24	1	24	1
807	1	0	0	18	1	28	1
809	0	0	0	24	1	39	1
810	1	0	0	6	1	35	1
813	0	0	0	18	1	23	1
814	0	0	0	18	1	24	1
815	1	0	0	9	1	34	2
816	0	0	0	18	1	22	1
817	0	0	0	10	1	48	2
818	0	0	0	12	1	26	1
819	0	0	0	8	1	24	1
820	0	0	0	9	1	19	1
822	0	0	1	36	1	29	1
823	0	0	0	24	1	32	1
824	0	0	0	21	1	25	1
825	0	0	0	24	1	29	1
826	1	0	0	7	1	27	1
828	0	0	0	12	1	43	1
829	0	0	0	12	1	30	1
831	0	0	1	36	1	42	1
832	0	0	1	36	1	26	1
833	0	0	1	36	1	27	1
834	0	0	1	36	1	26	1
835	0	0	0	6	1	32	1
836	0	0	0	24	1	23	1
837	1	0	0	18	1	36	2
838	0	0	0	24	1	43	1
839	1	0	0	18	1	39	2
840	0	0	0	12	1	26	1
841	0	0	1	36	1	40	1
842	0	0	0	18	1	31	1
843	0	0	0	12	1	29	1
844	0	0	0	24	1	29	1
845	0	0	0	24	1	39	2
846	0	0	0	27	1	23	1
847	0	0	0	30	1	30	1
849	0	0	1	36	1	50	1
850	0	0	1	36	1	47	2
852	1	0	0	12	1	24	1
853	0	0	0	24	1	31	1
854	0	0	0	24	1	37	2
855	0	0	0	18	0	43	2
857	0	0	0	24	1	30	2
858	0	0	1	36	1	31	1
860	0	0	0	12	0	33	1
863	0	0	0	12	0	23	1
864	0	0	0	18	1	31	1
866	1	0	0	15	1	39	1
867	0	0	0	12	1	25	1
868	0	0	1	36	0	28	1
869	0	0	0	12	1	27	1
870	0	0	0	24	1	25	1
872	0	0	1	36	1	25	1
873	0	0	0	18	1	22	1
874	0	0	1	36	1	28	1
875	0	1	0	24	1	34	1
876	0	0	0	30	0	28	1
877	0	0	0	30	0	28	1
879	0	0	0	9	1	22	1
880	0	1	0	24	1	40	1
881	0	0	0	18	1	25	1
882	1	0	0	7	1	34	1
884	1	0	0	15	0	25	1
885	1	0	0	15	1	28	1
887	0	0	0	24	1	27	1
888	0	0	1	36	1	25	1
889	0	0	0	24	1	35	1
890	0	0	1	36	1	29	1
892	0	0	1	36	1	24	1
893	0	0	0	12	0	25	1
894	0	0	0	18	1	33	1
895	0	1	0	24	1	34	1
896	0	0	0	18	1	38	1
897	0	1	0	21	1	41	2
898	0	0	0	27	1	21	1
899	0	0	0	27	1	36	2
900	0	0	0	10	1	27	1
901	0	0	0	24	1	31	1
902	0	0	0	12	1	33	2
903	0	0	1	36	1	57	1
904	0	0	0	18	1	42	1
905	1	0	0	18	1	26	1
906	0	0	0	18	1	24	1
907	1	0	0	18	1	44	1
908	0	0	0	30	1	23	1
909	0	1	0	24	1	43	2
911	0	1	0	24	1	53	2
912	0	0	0	12	1	35	1
914	0	0	1	36	1	31	1
915	1	0	0	15	1	23	2
916	0	0	0	18	1	22	1
917	0	0	0	12	1	20	1
918	1	0	0	12	1	25	1
921	0	0	0	24	1	27	1
922	1	0	0	12	1	36	1
923	0	0	0	24	1	23	1
924	1	0	0	15	1	30	1
925	0	0	0	21	1	26	1
926	0	0	0	18	1	20	1
927	0	1	0	24	1	31	1
928	0	0	0	12	0	21	1
931	0	0	0	18	1	30	1
932	0	0	0	12	1	37	1
933	0	0	0	12	1	46	1
934	0	0	0	12	1	36	1
935	0	0	0	16	1	43	1
936	0	0	0	20	0	33	1
937	0	0	0	9	1	29	1
938	0	0	0	18	1	36	2
939	0	0	0	24	1	23	1
940	0	0	1	36	1	42	1
942	0	0	0	12	1	41	2
943	0	0	0	12	1	41	2
944	0	0	1	36	1	37	1
945	0	0	0	12	1	57	1
946	1	0	0	15	1	34	2
947	0	0	0	10	1	25	1
948	0	1	0	30	1	53	1
949	1	0	0	18	1	32	2
